statename,place,type
CA,Alameda,City
CA,Albany,City
CA,Antioch,City
CA,Atherton,Town
CA,Belvedere,City
CA,Berkeley,City
CA,Brisbane,City
CA,Clayton,City
CA,Colma,Town
CA,Concord,City
CA,Daly,City
CA,Danville,Town
CA,EastPaloAlto,City
CA,ElCerrito,City
CA,Fairfax,Town
CA,HalfMoonBay,City
CA,Hayward,City
CA,Lafayette,City
CA,Livermore,City
CA,Moraga,Town
CA,Newark,City
CA,Novato,City
CA,Oakland,City
CA,Oakley,City
CA,Orinda,City
CA,Pacifica,City
CA,Pleasanton,City
CA,PleasantHill,City
CA,Richmond,City
CA,Ross,Town
CA,SanAnselmo,Town
CA,SanBruno,City
CA,SanCarlos,City
CA,SanMateo,City
CA,SanRafael,City
CA,SouthSanFrancisco,City
CA,Tiburon,Town
CA,Union,City
CA,WalnutCreek,City
TX,Alvin,City
TX,Anahuac,City
TX,Angleton,City
TX,BayouVista,City
TX,Bellaire,City
TX,Bellville,City
TX,Brookshire,City
TX,BunkerHill,City
TX,ClearLakeShores,City
TX,Cleveland,City
TX,Clute,City
TX,Conroe,City
TX,Dayton,City
TX,DeerPark,City
TX,Devers,City
TX,Dickinson,City
TX,ElLago,City
TX,Friendswood,City
TX,Fulshear,City
TX,Galveston,City
TX,Hedwig,City
TX,Hempstead,City
TX,Hilshire,City
TX,Hitchcock,City
TX,HolidayLakes,Town
TX,Humble,City
TX,IowaColony,Village
TX,Jacinto,City
TX,Jersey,City
TX,JonesCreek,Village
TX,Katy,City
TX,Kemah,City
TX,LaMarque,City
TX,Liberty,City
TX,Magnolia,City
TX,Manvel,City
TX,Missouri,City
TX,MontBelvieu,City
TX,Montgomery,City
TX,MorgansPoint,City
TX,Needville,City
TX,OysterCreek,City
TX,Panorama,City
TX,PineyPoint,City
TX,Pleak,Village
TX,PrairieView,City
TX,Quintana,Town
TX,Richwood,City
TX,RomanForest,City
TX,Seabrook,City
TX,Sealy,City
TX,Shenandoah,City
TX,Shoreacres,City
TX,Simonton,City
TX,Splendora,City
TX,SpringValley,City
TX,Stafford,City
TX,Stagecoach,Town
TX,SugarLand,City
TX,SurfsideBeach,City
TX,Sweeny,City
TX,TikiIsland,Village
TX,Waller,City
TX,Webster,City
TX,WestColumbia,City
TX,WestUniversityPlace,City
TX,Willis,City
